transaction_id,date
12,2024-01-3
23,2024-01-3
55,2024-01-3
67,2024-01-3
89,2024-01-3
101,2024-01-4
205,2024-01-4
209,2024-01-4
291,2024-01-6
367,2024-01-6
406,2024-01-7
526,2024-01-7
512,2024-01-8
551,2024-01-9
560,2024-01-11
634,2024-01-11
789,2024-01-14
866,2024-01-14
945,2024-01-15
1038,2024-01-17
1175,2024-01-17
1242,2024-01-19
1346,2024-01-21
1513,2024-01-23
1576,2024-01-24
1716,2024-01-27
1858,2024-01-29
1854,2024-01-29
1867,2024-01-29
1882,2024-01-29
1883,2024-01-29
1898,2024-01-29
2024,2024-01-31
2081,2024-01-31
